sum,x1,x2,x3,x4,x5
5,1,1,1,1,1
8.00625,1,1,1,1,2
11.0125,1,1,1,1,3
7.35,1,1,1,2,1
11.7025,1,1,1,2,2
16.055,1,1,1,2,3
9.7,1,1,1,3,1
15.39875,1,1,1,3,2
21.0975,1,1,1,3,3
6.325,1,1,2,1,1
9.9515,1,1,2,1,2
13.578,1,1,2,1,3
9.11,1,1,2,2,1
14.373,1,1,2,2,2
19.636,1,1,2,2,3
11.895,1,1,2,3,1
18.7945,1,1,2,3,2
25.694,1,1,2,3,3
7.65,1,1,3,1,1
11.89675,1,1,3,1,2
16.1435,1,1,3,1,3
10.87,1,1,3,2,1
17.0435,1,1,3,2,2
23.217,1,1,3,2,3
14.09,1,1,3,3,1
22.19025,1,1,3,3,2
30.2905,1,1,3,3,3
5.075,1,2,1,1,1
7.7775,1,2,1,1,2
10.48,1,2,1,1,3
6.57,1,2,1,2,1
9.725,1,2,1,2,2
12.88,1,2,1,2,3
8.065,1,2,1,3,1
11.6725,1,2,1,3,2
15.28,1,2,1,3,3
5.86,1,2,2,1,1
8.648,1,2,2,1,2
11.436,1,2,2,1,3
6.78,1,2,2,2,1
9.316,1,2,2,2,2
11.852,1,2,2,2,3
7.7,1,2,2,3,1
9.984,1,2,2,3,2
12.268,1,2,2,3,3
6.645,1,2,3,1,1
9.5185,1,2,3,1,2
12.392,1,2,3,1,3
6.99,1,2,3,2,1
8.907,1,2,3,2,2
10.824,1,2,3,2,3
7.335,1,2,3,3,1
8.2955,1,2,3,3,2
9.256,1,2,3,3,3
5.15,1,3,1,1,1
7.54875,1,3,1,1,2
9.9475,1,3,1,1,3
5.79,1,3,1,2,1
7.7475,1,3,1,2,2
9.705,1,3,1,2,3
6.43,1,3,1,3,1
7.94625,1,3,1,3,2
9.4625,1,3,1,3,3
5.395,1,3,2,1,1
7.3445,1,3,2,1,2
9.294,1,3,2,1,3
4.45,1,3,2,2,1
4.259,1,3,2,2,2
4.068,1,3,2,2,3
3.505,1,3,2,3,1
1.1735,1,3,2,3,2
-1.158,1,3,2,3,3
5.64,1,3,3,1,1
7.14025,1,3,3,1,2
8.6405,1,3,3,1,3
3.11,1,3,3,2,1
0.7705,1,3,3,2,2
-1.569,1,3,3,2,3
0.58,1,3,3,3,1
-5.59925,1,3,3,3,2
-11.7785,1,3,3,3,3
5.925,2,1,1,1,1
9.5515,2,1,1,1,2
13.178,2,1,1,1,3
8.71,2,1,1,2,1
13.973,2,1,1,2,2
19.236,2,1,1,2,3
11.495,2,1,1,3,1
18.3945,2,1,1,3,2
25.294,2,1,1,3,3
7.256,2,1,2,1,1
11.43,2,1,2,1,2
15.604,2,1,2,1,3
10.332,2,1,2,2,1
16.24,2,1,2,2,2
22.148,2,1,2,2,3
13.408,2,1,2,3,1
21.05,2,1,2,3,2
28.692,2,1,2,3,3
8.587,2,1,3,1,1
13.3085,2,1,3,1,2
18.03,2,1,3,1,3
11.954,2,1,3,2,1
18.507,2,1,3,2,2
25.06,2,1,3,2,3
15.321,2,1,3,3,1
23.7055,2,1,3,3,2
32.09,2,1,3,3,3
5.46,2,2,1,1,1
8.248,2,2,1,1,2
11.036,2,2,1,1,3
6.38,2,2,1,2,1
8.916,2,2,1,2,2
11.452,2,2,1,2,3
7.3,2,2,1,3,1
9.584,2,2,1,3,2
11.868,2,2,1,3,3
5.732,2,2,2,1,1
8.04,2,2,2,1,2
10.348,2,2,2,1,3
4.984,2,2,2,2,1
5.2,2,2,2,2,2
5.416,2,2,2,2,3
4.236,2,2,2,3,1
2.36,2,2,2,3,2
0.484,2,2,2,3,3
6.004,2,2,3,1,1
7.832,2,2,3,1,2
9.66,2,2,3,1,3
3.588,2,2,3,2,1
1.484,2,2,3,2,2
-0.62,2,2,3,2,3
1.172,2,2,3,3,1
-4.864,2,2,3,3,2
-10.9,2,2,3,3,3
4.995,2,3,1,1,1
6.9445,2,3,1,1,2
8.894,2,3,1,1,3
4.05,2,3,1,2,1
3.859,2,3,1,2,2
3.668,2,3,1,2,3
3.105,2,3,1,3,1
0.7735,2,3,1,3,2
-1.558,2,3,1,3,3
4.208,2,3,2,1,1
4.65,2,3,2,1,2
5.092,2,3,2,1,3
-0.364,2,3,2,2,1
-5.84,2,3,2,2,2
-11.316,2,3,2,2,3
-4.936,2,3,2,3,1
-16.33,2,3,2,3,2
-27.724,2,3,2,3,3
3.421,2,3,3,1,1
2.3555,2,3,3,1,2
1.29,2,3,3,1,3
-4.778,2,3,3,2,1
-15.539,2,3,3,2,2
-26.3,2,3,3,2,3
-12.977,2,3,3,3,1
-33.4335,2,3,3,3,2
-53.89,2,3,3,3,3
6.85,3,1,1,1,1
11.09675,3,1,1,1,2
15.3435,3,1,1,1,3
10.07,3,1,1,2,1
16.2435,3,1,1,2,2
22.417,3,1,1,2,3
13.29,3,1,1,3,1
21.39025,3,1,1,3,2
29.4905,3,1,1,3,3
8.187,3,1,2,1,1
12.9085,3,1,2,1,2
17.63,3,1,2,1,3
11.554,3,1,2,2,1
18.107,3,1,2,2,2
24.66,3,1,2,2,3
14.921,3,1,2,3,1
23.3055,3,1,2,3,2
31.69,3,1,2,3,3
9.524,3,1,3,1,1
14.72025,3,1,3,1,2
19.9165,3,1,3,1,3
