sum,x1,x2,x3,x4,x5
16.5,1,1,1,1,1
28.3,1,1,1,1,2
40.1,1,1,1,1,3
28.3,1,1,1,2,1
49.4,1,1,1,2,2
70.5,1,1,1,2,3
40.1,1,1,1,3,1
70.5,1,1,1,3,2
100.9,1,1,1,3,3
28.3,1,1,2,1,1
49.4,1,1,2,1,2
70.5,1,1,2,1,3
49.4,1,1,2,2,1
87.1,1,1,2,2,2
124.8,1,1,2,2,3
70.5,1,1,2,3,1
124.8,1,1,2,3,2
179.1,1,1,2,3,3
40.1,1,1,3,1,1
70.5,1,1,3,1,2
100.9,1,1,3,1,3
70.5,1,1,3,2,1
124.8,1,1,3,2,2
179.1,1,1,3,2,3
100.9,1,1,3,3,1
179.1,1,1,3,3,2
257.3,1,1,3,3,3
28.3,1,2,1,1,1
49.4,1,2,1,1,2
70.5,1,2,1,1,3
49.4,1,2,1,2,1
87.1,1,2,1,2,2
124.8,1,2,1,2,3
70.5,1,2,1,3,1
124.8,1,2,1,3,2
179.1,1,2,1,3,3
49.4,1,2,2,1,1
87.1,1,2,2,1,2
124.8,1,2,2,1,3
87.1,1,2,2,2,1
152.9,1,2,2,2,2
218.7,1,2,2,2,3
124.8,1,2,2,3,1
218.7,1,2,2,3,2
312.6,1,2,2,3,3
70.5,1,2,3,1,1
124.8,1,2,3,1,2
179.1,1,2,3,1,3
124.8,1,2,3,2,1
218.7,1,2,3,2,2
312.6,1,2,3,2,3
179.1,1,2,3,3,1
312.6,1,2,3,3,2
446.1,1,2,3,3,3
40.1,1,3,1,1,1
70.5,1,3,1,1,2
100.9,1,3,1,1,3
70.5,1,3,1,2,1
124.8,1,3,1,2,2
179.1,1,3,1,2,3
100.9,1,3,1,3,1
179.1,1,3,1,3,2
257.3,1,3,1,3,3
70.5,1,3,2,1,1
124.8,1,3,2,1,2
179.1,1,3,2,1,3
124.8,1,3,2,2,1
218.7,1,3,2,2,2
312.6,1,3,2,2,3
179.1,1,3,2,3,1
312.6,1,3,2,3,2
446.1,1,3,2,3,3
100.9,1,3,3,1,1
179.1,1,3,3,1,2
257.3,1,3,3,1,3
179.1,1,3,3,2,1
312.6,1,3,3,2,2
446.1,1,3,3,2,3
257.3,1,3,3,3,1
446.1,1,3,3,3,2
634.9,1,3,3,3,3
28.3,2,1,1,1,1
49.4,2,1,1,1,2
70.5,2,1,1,1,3
49.4,2,1,1,2,1
87.1,2,1,1,2,2
124.8,2,1,1,2,3
70.5,2,1,1,3,1
124.8,2,1,1,3,2
179.1,2,1,1,3,3
49.4,2,1,2,1,1
87.1,2,1,2,1,2
124.8,2,1,2,1,3
87.1,2,1,2,2,1
153.1,2,1,2,2,2
219.1,2,1,2,2,3
124.8,2,1,2,3,1
219.1,2,1,2,3,2
313.4,2,1,2,3,3
70.5,2,1,3,1,1
124.8,2,1,3,1,2
179.1,2,1,3,1,3
124.8,2,1,3,2,1
219.1,2,1,3,2,2
313.4,2,1,3,2,3
179.1,2,1,3,3,1
313.4,2,1,3,3,2
447.7,2,1,3,3,3
49.4,2,2,1,1,1
87.1,2,2,1,1,2
124.8,2,2,1,1,3
87.1,2,2,1,2,1
153.3,2,2,1,2,2
219.5,2,2,1,2,3
124.8,2,2,1,3,1
219.5,2,2,1,3,2
314.2,2,2,1,3,3
87.1,2,2,2,1,1
153.5,2,2,2,1,2
219.9,2,2,2,1,3
153.8,2,2,2,2,1
265.2,2,2,2,2,2
376.6,2,2,2,2,3
220.5,2,2,2,3,1
376.9,2,2,2,3,2
533.3,2,2,2,3,3
124.8,2,2,3,1,1
219.9,2,2,3,1,2
315,2,2,3,1,3
220.5,2,2,3,2,1
377.1,2,2,3,2,2
533.7,2,2,3,2,3
316.2,2,2,3,3,1
534.3,2,2,3,3,2
